TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787303966578,29.2,14.3,-0.1,0.0,15.0,11.9
63787303967671,28.0,13.1,-0.1,0.0,15.0,10.6
63787303968739,25.3,10.4,-0.1,0.0,15.0,10.1
63787303969801,25.8,10.9,-0.1,0.0,15.0,10.1
63787303970924,29.9,15.0,-0.1,0.0,15.0,13.7
63787303971990,29.4,14.4,-0.1,0.0,15.0,14.0
63787303973084,26.3,11.4,-0.1,0.0,15.0,10.6
63787303974163,29.5,14.6,-0.1,0.0,15.0,12.9
63787303975241,26.1,11.2,-0.1,0.0,15.0,10.5
63787303976306,25.8,10.9,-0.1,0.0,15.0,9.4
63787303977399,30.7,15.8,-0.1,0.0,15.0,14.3
63787303978492,24.0,9.1,-0.1,0.0,15.0,8.5
63787303979586,26.9,12.0,-0.1,0.0,15.0,11.0
63787303980664,29.6,14.7,-0.1,0.0,15.0,13.6
63787303981731,26.6,11.7,-0.1,0.0,15.0,10.1
63787303982809,26.3,11.4,-0.1,0.0,15.0,10.1
63787303983900,26.0,11.1,-0.1,0.0,15.0,9.8
63787303984986,28.1,13.2,-0.1,0.0,15.0,12.0
63787303986048,26.7,11.8,-0.1,0.0,15.0,10.8
63787303987139,26.9,12.0,-0.1,0.0,15.0,11.4
63787303988217,26.1,11.2,-0.1,0.0,15.0,10.1
63787303989288,27.3,12.4,-0.1,0.0,15.0,11.3
63787303990375,27.1,12.2,-0.1,0.0,15.0,10.8
63787303991453,27.7,12.8,-0.1,0.0,15.0,11.9
63787303992524,27.3,12.4,-0.1,0.0,15.0,11.6
63787303993617,26.9,12.0,-0.1,0.0,15.0,11.0
63787303994693,27.5,12.6,-0.1,0.0,15.0,12.0
63787303995771,26.6,11.7,-0.1,0.0,15.0,10.7
63787303996846,27.1,12.2,-0.1,0.0,15.0,11.3
63787303997908,27.1,12.2,-0.1,0.0,15.0,10.8
63787303998996,26.4,11.5,-0.1,0.0,15.0,10.5
63787304000058,26.3,11.4,-0.1,0.0,15.0,9.7
63787304001149,26.3,11.4,-0.1,0.0,15.0,10.2
63787304002227,28.8,13.9,-0.1,0.0,15.0,11.6
63787304003321,29.4,14.5,-0.1,0.0,15.0,13.0
63787304004414,29.3,14.4,-0.1,0.0,15.0,12.1
63787304005492,30.4,15.5,-0.1,0.0,15.0,13.5
63787304006554,29.3,14.4,-0.1,0.0,15.0,11.6
63787304007630,27.7,12.8,-0.1,0.0,15.0,10.5
63787304008692,29.4,14.5,-0.1,0.0,15.0,11.9
63787304009786,29.6,14.7,-0.1,0.0,15.0,12.5
63787304010848,29.9,15.0,-0.1,0.0,15.0,12.3
63787304011926,29.5,14.6,-0.1,0.0,15.0,12.0
63787304012988,29.1,14.2,-0.1,0.0,15.0,11.4
63787304014076,28.0,13.1,-0.1,0.0,15.0,10.7
63787304015153,28.8,13.9,-0.1,0.0,15.0,12.1
63787304016247,29.1,14.2,-0.1,0.0,15.0,12.0
63787304017325,30.0,15.1,-0.1,0.0,15.0,12.9
63787304018418,29.4,14.5,-0.1,0.0,15.0,12.1
63787304019496,29.3,14.4,-0.1,0.0,15.0,12.3
63787304020573,30.5,15.6,-0.1,0.0,15.0,13.3
63787304021651,30.3,15.4,-0.1,0.0,15.0,12.6
63787304022744,28.8,13.9,-0.1,0.0,15.0,11.8
63787304023822,28.8,13.9,-0.1,0.0,15.0,11.5
63787304024900,29.3,14.4,-0.1,0.0,15.0,12.0
63787304025992,29.6,14.7,-0.1,0.0,15.0,12.1
63787304027069,29.5,14.6,-0.1,0.0,15.0,12.5
63787304028162,29.0,14.1,-0.1,0.0,15.0,11.6
63787304029256,29.8,14.9,-0.1,0.0,15.0,12.7
63787304030349,28.8,13.9,-0.1,0.0,15.0,11.7
63787304031412,28.0,13.1,-0.1,0.0,15.0,10.4
63787304032490,29.6,14.7,-0.1,0.0,15.0,12.6
63787304033578,27.3,12.4,-0.1,0.0,15.0,10.0
63787304034655,28.3,13.4,-0.1,0.0,15.0,12.3
63787304035765,27.1,12.2,-0.1,0.0,15.0,11.2
63787304036852,27.1,12.2,-0.1,0.0,15.0,11.4
63787304037930,27.3,12.4,-0.1,0.0,15.0,11.4
63787304039023,28.0,13.1,-0.1,0.0,15.0,12.5
63787304040115,27.8,12.9,-0.1,0.0,15.0,11.9
63787304041193,27.9,13.0,-0.1,0.0,15.0,11.0
63787304042287,26.6,11.7,-0.1,0.0,15.0,11.0
63787304043378,27.8,12.9,-0.1,0.0,15.0,11.4
63787304044449,27.1,12.2,-0.1,0.0,15.0,11.2
63787304045543,27.0,12.1,-0.1,0.0,15.0,10.7
63787304046640,27.9,13.0,-0.1,0.0,15.0,11.4
63787304047726,28.5,13.6,-0.1,0.0,15.0,11.7
63787304048825,27.5,12.6,-0.1,0.0,15.0,11.8
63787304049900,26.4,11.5,-0.1,0.0,15.0,10.5
63787304050978,27.5,12.6,-0.1,0.0,15.0,11.5
63787304052056,26.4,11.5,-0.1,0.0,15.0,10.7
63787304053118,27.1,12.2,-0.1,0.0,15.0,11.1
63787304054196,27.9,13.0,-0.1,0.0,15.0,11.6
63787304055278,28.3,13.3,-0.1,0.0,15.0,11.9
63787304056371,26.7,11.8,-0.1,0.0,15.0,10.6
