TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787006217625,28.5,13.6,-0.1,0.0,15.0,10.4
63787006218729,29.3,14.4,-0.1,0.0,15.0,12.5
63787006219806,28.9,14.0,-0.1,0.0,15.0,11.0
63787006220871,29.1,14.2,-0.1,0.0,15.0,11.0
63787006221954,29.0,14.1,-0.1,0.0,15.0,10.6
63787006223030,29.5,14.6,-0.1,0.0,15.0,11.8
63787006224118,29.2,14.3,-0.1,0.0,15.0,10.9
63787006225197,29.7,14.8,-0.1,0.0,15.0,10.2
63787006226269,29.6,14.7,-0.1,0.0,15.0,11.5
63787006227347,29.5,14.6,-0.1,0.0,15.0,10.5
63787006228448,28.7,13.8,-0.1,0.0,15.0,11.0
63787006229533,29.4,14.5,-0.1,0.0,15.0,11.4
63787006230624,28.2,13.3,-0.1,0.0,15.0,10.7
63787006231731,27.8,12.9,-0.1,0.0,15.0,9.8
63787006232831,28.7,13.8,-0.1,0.0,15.0,10.6
63787006233925,28.4,13.5,-0.1,0.0,15.0,9.7
63787006234979,28.4,13.5,-0.1,0.0,15.0,9.8
63787006236044,27.8,12.9,-0.1,0.0,15.0,9.9
63787006237138,29.4,14.5,-0.1,0.0,15.0,11.7
63787006238253,29.3,14.4,-0.1,0.0,15.0,11.8
63787006239346,29.4,14.5,-0.1,0.0,15.0,11.8
63787006240440,30.2,15.3,-0.1,0.0,15.0,9.6
63787006241533,30.1,15.2,-0.1,0.0,15.0,11.2
63787006242599,29.6,14.7,-0.1,0.0,15.0,10.3
63787006243697,28.7,13.8,-0.1,0.0,15.0,10.5
63787006244758,29.3,14.4,-0.1,0.0,15.0,10.8
63787006245809,28.1,13.2,-0.1,0.0,15.0,10.5
63787006246902,29.2,14.3,-0.1,0.0,15.0,10.7
63787006248002,29.5,14.6,-0.1,0.0,15.0,10.8
63787006249078,28.6,13.7,-0.1,0.0,15.0,10.2
63787006250190,29.8,14.9,-0.1,0.0,15.0,11.9
63787006251281,28.5,13.6,-0.1,0.0,15.0,10.9
63787006252360,23.9,9.0,-0.1,0.0,15.0,7.3
63787006253438,24.4,9.5,-0.1,0.0,15.0,6.9
63787006254522,23.8,8.9,-0.1,0.0,15.0,7.2
63787006255610,30.3,15.4,-0.1,0.0,15.0,11.2
63787006256691,29.1,14.2,-0.1,0.0,15.0,10.0
63787006257773,28.7,13.8,-0.1,0.0,15.0,11.1
63787006258868,29.5,14.6,-0.1,0.0,15.0,10.5
63787006259932,28.3,13.4,-0.1,0.0,15.0,10.4
63787006261012,29.2,14.3,-0.1,0.0,15.0,10.6
63787006262108,28.1,13.2,-0.1,0.0,15.0,10.8
63787006263189,29.4,14.5,-0.1,0.0,15.0,10.6
63787006264276,29.0,14.1,-0.1,0.0,15.0,11.5
63787006265368,29.6,14.7,-0.1,0.0,15.0,11.0
63787006266420,30.0,15.1,-0.1,0.0,15.0,11.6
63787006267505,29.2,14.3,-0.1,0.0,15.0,10.3
63787006268601,28.6,13.7,-0.1,0.0,15.0,11.0
63787006269678,29.0,14.1,-0.1,0.0,15.0,10.5
63787006270772,28.3,13.4,-0.1,0.0,15.0,10.1
63787006271876,28.5,13.6,-0.1,0.0,15.0,9.9
63787006272950,29.1,14.2,-0.1,0.0,15.0,10.5
63787006274049,28.9,14.0,-0.1,0.0,15.0,11.9
63787006275140,29.4,14.5,-0.1,0.0,15.0,10.9
63787006276238,30.6,15.7,-0.1,0.0,15.0,12.2
63787006277311,29.1,14.2,-0.1,0.0,15.0,11.3
63787006278419,28.9,14.0,-0.1,0.0,15.0,11.1
63787006279479,29.1,14.2,-0.1,0.0,15.0,11.3
63787006280571,28.4,13.5,-0.1,0.0,15.0,11.0
63787006281639,29.1,14.2,-0.1,0.0,15.0,11.3
63787006282713,28.2,13.3,-0.1,0.0,15.0,11.1
63787006283815,29.0,14.1,-0.1,0.0,15.0,11.4
63787006284904,29.1,14.2,-0.1,0.0,15.0,11.1
63787006286006,29.2,14.3,-0.1,0.0,15.0,11.6
63787006287072,29.7,14.8,-0.1,0.0,15.0,11.8
63787006288174,28.9,14.0,-0.1,0.0,15.0,10.3
63787006289285,29.9,15.0,-0.1,0.0,15.0,11.6
63787006290396,28.5,13.6,-0.1,0.0,15.0,10.5
63787006291477,27.9,13.0,-0.1,0.0,15.0,10.2
63787006292539,29.2,14.3,-0.1,0.0,15.0,10.7
63787006293610,28.7,13.8,-0.1,0.0,15.0,10.4
63787006294698,29.1,14.2,-0.1,0.0,15.0,10.5
63787006295787,28.8,13.9,-0.1,0.0,15.0,10.0
63787006296879,29.8,14.9,-0.1,0.0,15.0,11.5
63787006297946,29.7,14.8,-0.1,0.0,15.0,11.7
63787006299044,29.1,14.2,-0.1,0.0,15.0,10.8
63787006300152,30.7,15.8,-0.1,0.0,15.0,12.6
63787006301218,28.5,13.6,-0.1,0.0,15.0,10.5
63787006302293,27.8,12.9,-0.1,0.0,15.0,9.7
63787006303380,28.9,14.0,-0.1,0.0,15.0,10.7
63787006304448,30.3,15.4,-0.1,0.0,15.0,12.5
63787006305552,29.7,14.8,-0.1,0.0,15.0,11.5
63787006306640,29.7,14.8,-0.1,0.0,15.0,11.5
63787006307737,27.7,12.8,-0.1,0.0,15.0,10.2
63787006308824,29.3,14.4,-0.1,0.0,15.0,11.4
63787006309882,29.0,14.1,-0.1,0.0,15.0,10.5
63787006310967,28.1,13.2,-0.1,0.0,15.0,10.5
63787006312053,28.8,13.9,-0.1,0.0,15.0,10.9
63787006313133,29.6,14.7,-0.1,0.0,15.0,11.4
63787006314216,28.8,13.9,-0.1,0.0,15.0,11.1
63787006315316,29.3,14.4,-0.1,0.0,15.0,11.2
63787006316410,28.3,13.4,-0.1,0.0,15.0,9.9
63787006317479,28.0,13.1,-0.1,0.0,15.0,10.6
63787006318538,27.8,12.9,-0.1,0.0,15.0,10.4
63787006319608,29.0,14.1,-0.1,0.0,15.0,10.1
63787006320693,27.9,13.0,-0.1,0.0,15.0,11.2
63787006321795,28.6,13.7,-0.1,0.0,15.0,9.6
63787006322874,29.2,14.3,-0.1,0.0,15.0,11.1
63787006323979,28.4,13.5,-0.1,0.0,15.0,10.1
63787006325044,28.4,13.5,-0.1,0.0,15.0,10.6
63787006326124,29.1,14.2,-0.1,0.0,15.0,11.7
63787006327240,29.2,14.3,-0.1,0.0,15.0,11.3
63787006328310,28.8,13.9,-0.1,0.0,15.0,10.4
63787006329387,28.3,13.4,-0.1,0.0,15.0,10.5
63787006330464,29.2,14.3,-0.1,0.0,15.0,10.4
63787006331523,27.7,12.8,-0.1,0.0,15.0,9.9
63787006332598,29.1,14.2,-0.1,0.0,15.0,10.8
63787006333697,28.8,13.9,-0.1,0.0,15.0,10.9
63787006334785,28.7,13.8,-0.1,0.0,15.0,10.2
63787006335861,29.2,14.3,-0.1,0.0,15.0,11.0
63787006336958,28.8,13.9,-0.1,0.0,15.0,11.0
63787006338038,29.1,14.2,-0.1,0.0,15.0,11.3
63787006339102,23.4,8.5,-0.1,0.0,15.0,7.0
63787006340168,23.3,8.4,-0.1,0.0,15.0,6.9
63787006341225,24.0,9.1,-0.1,0.0,15.0,7.9
63787006342292,28.2,13.3,-0.1,0.0,15.0,12.4
63787006343355,28.1,13.2,-0.1,0.0,15.0,11.8
63787006344417,28.6,13.7,-0.1,0.0,15.0,11.7
63787006345484,30.4,15.5,-0.1,0.0,15.0,13.3
