TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787027017155,29.3,14.4,-0.1,0.0,15.0,11.4
63787027018265,28.0,13.1,-0.1,0.0,15.0,10.5
63787027019387,30.0,15.1,-0.1,0.0,15.0,11.9
63787027020506,28.5,13.6,-0.1,0.0,15.0,11.2
63787027021612,30.5,15.6,-0.1,0.0,15.0,12.0
63787027022719,29.2,14.3,-0.1,0.0,15.0,12.0
63787027023832,28.3,13.4,-0.1,0.0,15.0,10.8
63787027024934,30.9,16.0,-0.1,0.0,15.0,13.5
63787027026042,30.0,15.1,-0.1,0.0,15.0,12.4
63787027027151,29.4,14.5,-0.1,0.0,15.0,12.1
63787027028245,28.7,13.8,-0.1,0.0,15.0,10.7
63787027029335,29.7,14.8,-0.1,0.0,15.0,12.7
63787027030434,29.0,14.1,-0.1,0.0,15.0,11.8
63787027031539,30.4,15.5,-0.1,0.0,15.0,12.7
63787027032643,29.1,14.2,-0.1,0.0,15.0,11.4
63787027033755,30.6,15.7,-0.1,0.0,15.0,11.8
63787027034850,29.9,15.0,-0.1,0.0,15.0,12.1
63787027035961,30.3,15.4,-0.1,0.0,15.0,10.3
63787027037057,30.0,15.1,-0.1,0.0,15.0,12.4
63787027038155,27.8,12.9,-0.1,0.0,15.0,10.3
63787027039267,27.7,12.8,-0.1,0.0,15.0,10.0
63787027040383,28.7,13.8,-0.1,0.0,15.0,12.2
63787027041506,28.5,13.6,-0.1,0.0,15.0,11.7
63787027042607,28.9,14.0,-0.1,0.0,15.0,11.7
63787027043724,29.9,15.0,-0.1,0.0,15.0,12.6
63787027044830,28.7,13.8,-0.1,0.0,15.0,10.8
63787027045921,28.0,13.1,-0.1,0.0,15.0,11.0
63787027047037,27.8,12.9,-0.1,0.0,15.0,11.0
63787027048134,28.2,13.3,-0.1,0.0,15.0,10.9
63787027049233,29.2,14.3,-0.1,0.0,15.0,11.6
63787027050338,28.9,14.0,-0.1,0.0,15.0,11.9
63787027051436,30.2,15.3,-0.1,0.0,15.0,13.1
63787027052542,29.9,15.0,-0.1,0.0,15.0,11.9
63787027053629,30.3,15.4,-0.1,0.0,15.0,12.6
63787027054723,29.3,14.4,-0.1,0.0,15.0,12.0
63787027055826,29.2,14.3,-0.1,0.0,15.0,11.5
63787027056937,30.6,15.7,-0.1,0.0,15.0,13.0
63787027058044,28.9,14.0,-0.1,0.0,15.0,11.8
63787027059154,29.7,14.8,-0.1,0.0,15.0,12.5
63787027060271,27.5,12.6,-0.1,0.0,15.0,10.7
63787027061383,29.4,14.5,-0.1,0.0,15.0,11.9
63787027062493,26.4,11.5,-0.1,0.0,15.0,10.0
63787027063603,24.9,10.0,-0.1,0.0,15.0,8.8
63787027064695,24.9,10.0,-0.1,0.0,15.0,8.5
63787027065800,26.8,11.9,-0.1,0.0,15.0,10.0
63787027066904,25.1,10.2,-0.1,0.0,15.0,8.9
63787027068009,27.4,12.5,-0.1,0.0,15.0,11.0
63787027069113,26.1,11.2,-0.1,0.0,15.0,9.7
63787027070228,25.1,10.2,-0.1,0.0,15.0,8.8
63787027071333,25.0,10.1,-0.1,0.0,15.0,8.3
63787027072438,26.2,11.3,-0.1,0.0,15.0,9.5
63787027073556,27.9,13.0,-0.1,0.0,15.0,11.3
63787027074655,25.5,10.6,-0.1,0.0,15.0,9.0
63787027075771,25.9,11.0,-0.1,0.0,15.0,9.2
63787027076903,26.5,11.6,-0.1,0.0,15.0,10.2
63787027078004,25.5,10.6,-0.1,0.0,15.0,9.3
63787027079100,26.6,11.7,-0.1,0.0,15.0,9.0
63787027080191,24.5,9.6,-0.1,0.0,15.0,8.1
63787027081296,24.4,9.5,-0.1,0.0,15.0,7.9
63787027082398,23.8,8.9,-0.1,0.0,15.0,6.9
63787027083488,25.1,10.2,-0.1,0.0,15.0,8.9
63787027084592,23.7,8.8,-0.1,0.0,15.0,7.4
63787027085704,25.2,10.3,-0.1,0.0,15.0,8.9
63787027086806,25.4,10.5,-0.1,0.0,15.0,9.7
63787027087893,25.4,10.5,-0.1,0.0,15.0,8.2
63787027089003,26.1,11.2,-0.1,0.0,15.0,8.6
63787027090119,29.3,14.4,-0.1,0.0,15.0,10.9
63787027091221,28.6,13.7,-0.1,0.0,15.0,10.9
63787027092331,28.9,14.0,-0.1,0.0,15.0,11.6
63787027093428,27.5,12.6,-0.1,0.0,15.0,10.0
63787027094527,28.4,13.5,-0.1,0.0,15.0,10.9
63787027095637,28.3,13.4,-0.1,0.0,15.0,10.1
63787027096724,26.8,11.9,-0.1,0.0,15.0,8.8
63787027097828,28.2,13.3,-0.1,0.0,15.0,9.6
63787027098932,28.5,13.6,-0.1,0.0,15.0,10.9
63787027100031,28.6,13.7,-0.1,0.0,15.0,10.3
63787027101133,28.5,13.6,-0.1,0.0,15.0,10.0
63787027102228,29.9,15.0,-0.1,0.0,15.0,11.1
63787027103342,29.4,14.5,-0.1,0.0,15.0,11.2
63787027104441,27.5,12.6,-0.1,0.0,15.0,9.6
63787027105537,27.3,12.4,-0.1,0.0,15.0,8.8
63787027106637,28.8,13.9,-0.1,0.0,15.0,10.3
63787027107744,28.8,13.9,-0.1,0.0,15.0,10.6
63787027108838,28.6,13.6,-0.1,0.0,15.0,10.3
63787027109929,27.5,12.6,-0.1,0.0,15.0,10.1
63787027111032,29.7,14.8,-0.1,0.0,15.0,12.1
63787027112135,27.2,12.3,-0.1,0.0,15.0,10.0
63787027113229,28.8,13.9,-0.1,0.0,15.0,11.0
63787027114328,30.4,15.5,-0.1,0.0,15.0,11.3
63787027115423,28.0,13.1,-0.1,0.0,15.0,10.3
63787027116533,27.3,12.4,-0.1,0.0,15.0,10.1
63787027117633,28.6,13.7,-0.1,0.0,15.0,10.7
